archive_rank,title,award_date,awwwards_url,requested_url,final_url,studio,redirect_host_changed,http_status,technologies,technology_categories,awwwards_technology_tags,interaction_features,visual_styles,industry_tags,referenced_asset_formats,canvas,webgl,three_d,video,audio,rive,lottie,css_animation,smooth_scroll,service_worker,webassembly,model_3d_asset,mirror_status
11,Longbow,2026-07-12,https://www.awwwards.com/sites/longbow,https://db-longbow.webflow.io/,https://db-longbow.webflow.io/,Digital Butlers,False,200,Cloudflare | Google Font API | Google Hosted Libraries | HTTP/3 | Webflow | jQuery,CDN | CMS | Font scripts | JavaScript libraries | Miscellaneous | Page builders,Figma | Webflow,Footer Design,Typography | UI design,Photo & Video | Promotional | Technology | Web & Interactive,css:1 | jpg:22 | js:5 | mp4:26 | png:17 | webp:12,False,False,False,True,False,False,False,False,True,False,False,False,mirrored
12,Vectr,2026-07-11,https://www.awwwards.com/sites/vectr,https://vectrfl.com/,https://www.vectrfl.com/,Utsubo,False,200,HSTS | Vercel,PaaS | Security,Astro | Three.js | WebGL,3D | Animation | Storytelling | Transitions,,Startups | Technology,css:1 | js:1 | png:7 | svg:16 | xml:1,False,True,True,False,False,False,False,False,False,False,False,False,mirrored
13,21 Hrs On The Moon,2026-07-10,https://www.awwwards.com/sites/21-hrs-on-the-moon,https://www.21hrs.space/,https://www.21hrs.space/,Studio 28K,False,200,Google Analytics | HSTS | Vercel,Analytics | PaaS | Security,Figma | WebGL,3D | Sound-Audio | Storytelling,Experimental | Photographic | Photography,Culture & Education,css:6 | png:2,True,True,True,False,True,False,False,False,False,False,False,False,mirrored
15,Julien Calot,2026-07-08,https://www.awwwards.com/sites/julien-calot,https://www.juliencalot.com,https://www.juliencalot.com,FLOT NOIR,False,200,Cloudflare | HSTS | HTTP/3 | Unpkg | Webflow | jQuery | jsDelivr,CDN | CMS | JavaScript libraries | Miscellaneous | Page builders | Security,Figma | WebGL | Webflow,404 pages | Animation | Gallery | Infinite Scroll,Art & Illustration | Big Background Images,Luxury | Portfolio,css:2 | js:24 | png:7 | webp:111,False,True,False,False,False,False,False,False,True,False,False,False,mirrored
16,Depo Luxe,2026-07-07,https://www.awwwards.com/sites/depo-luxe,https://depoluxe.xyz/,https://depoluxe.xyz/,Cuchillo,False,200,HSTS | Netlify,CDN | PaaS | Security,11ty,Animation | Microinteractions | Navigation Menu,Clean,Film & TV | Luxury | Photo & Video,css:1 | ico:1 | jpg:17 | js:1 | mp4:16 | png:2 | svg:1 | webp:16 | woff2:2,True,False,False,True,False,False,False,False,False,False,False,False,mirrored
17,MONOLOG,2026-07-06,https://www.awwwards.com/sites/monolog,https://bymonolog.com/,https://bymonolog.com/,Huy Nguyen,False,200,Cloudflare | HSTS | HTTP/3 | Three.js | jQuery | jsDelivr,CDN | JavaScript graphics | JavaScript libraries | Miscellaneous | Security,GSAP | Three.js | Webflow,,Clean | Flat Design | Typography,Design Agencies,avif:30 | css:1 | jpg:2 | js:10 | mp4:2 | png:3 | svg:13 | webm:7,True,False,True,True,True,False,False,True,True,False,False,False,mirrored
18,Hildén & Kaira,2026-07-05,https://www.awwwards.com/sites/hilden-kaira,https://www.hildenkaira.fi/,https://www.hildenkaira.fi/,Dylan Brouwer,False,200,Cloudflare | Google Analytics | Google Font API | Google Hosted Libraries | Google Tag Manager | HSTS | HTTP/3 | Lenis | Locomotive Scroll | Webflow | jQuery | jsDelivr,Analytics | CDN | CMS | Font scripts | JavaScript libraries | Miscellaneous | Page builders | Security | Tag managers,Contentful | GSAP | Webflow,Footer Design | Header Design | Microinteractions | Social Integration,UI design,Business & Corporate | Film & TV | Social responsibility,avif:59 | css:3 | jpg:2 | js:18 | m3u8:30 | png:18 | webp:21 | woff2:2,False,False,False,True,False,False,True,False,True,False,False,False,mirrored
19,Radian,2026-07-04,https://www.awwwards.com/sites/radian,https://www.rideradian.com/,https://www.rideradian.com/,UNCOMMON,False,200,Cloudflare | HSTS | HTTP/3 | List.js | Unpkg | Usercentrics | cdnjs | jQuery | jsDelivr,CDN | Cookie compliance | JavaScript libraries | Miscellaneous | Security,BARBA.js | GSAP | Webflow,Animation | Header Design | Interaction Design | Project Page | Scrolling | Video,,E-Commerce | Sports | Startups,avif:2 | css:3 | jpeg:3 | js:19 | m3u8:3 | mp4:4 | png:2 | svg:1 | webp:27,True,False,False,True,False,False,False,False,True,False,False,False,mirrored
22,Wembi,2026-07-01,https://www.awwwards.com/sites/wembi,https://www.wembi.ai/,https://www.wembi.ai/,ET Studio,False,200,Cloudflare | Cloudflare Browser Insights | HTTP/3 | Node.js | Nuxt.js | Vue.js | iubenda,Analytics | CDN | Cookie compliance | JavaScript frameworks | Miscellaneous | Programming languages | RUM | Static site generator | Web frameworks | Web servers,Craft CMS | GSAP | Nuxt.js,,Clean | Colorful | Minimal,Business & Corporate | Startups | Technology,css:2 | jpg:10 | js:5 | json:1 | mp4:20 | webm:20,False,False,False,True,False,False,False,False,True,False,False,False,mirrored
23,NRG | Build Your Data Center,2026-06-30,https://www.awwwards.com/sites/nrg-build-your-data-center,https://business.nrg.com/campaigns/build-your-data-center/,https://business.nrg.com/campaigns/build-your-data-center/,Rogue Studio,False,200,Apache HTTP Server | HSTS | LottieFiles | OneTrust | Ubuntu | Unpkg | jsDelivr,CDN | Cookie compliance | Miscellaneous | Operating systems | Security | Web servers,Figma | HTML5 | JavaScript,About Page | Animation | Fullscreen | Microinteractions | Scrolling,Colorful,Business & Corporate,css:2 | js:8 | json:1 | png:2 | svg:3,False,False,False,False,False,False,True,False,True,False,False,False,mirrored
24,Meech213,2026-06-29,https://www.awwwards.com/sites/meech213,https://www.meech213.com/,https://www.meech213.com/,The Blackpepper Studio,False,200,Cloudflare | Google Analytics | Google Tag Manager | HSTS | HTTP/3 | Webflow | jQuery,Analytics | CDN | CMS | JavaScript libraries | Miscellaneous | Page builders | Security | Tag managers,CSS | JavaScript | Webflow,Fullscreen | Gallery,Photography,Fashion | Portfolio | Web & Interactive,css:1 | html:1 | jpg:11 | js:6 | mp4:20 | png:2 | webp:36,False,False,False,True,False,False,False,False,False,False,False,False,mirrored
25,IVRESS SPIN A TALE,2026-06-28,https://www.awwwards.com/sites/ivress-spin-a-tale,https://brand.ivress.co.jp/,https://brand.ivress.co.jp/,"Laugh Mind Co.,Ltd.",False,200,Cloudflare | Google Analytics,Analytics | CDN,WebGL,3D | Storytelling | Transitions,,Technology | Web & Interactive,css:1 | js:1 | png:6 | svg:12 | xml:1,False,True,True,False,False,False,False,False,False,False,False,False,mirrored
26,Podium,2026-06-27,https://www.awwwards.com/sites/podium,https://podium.global/,https://podium.global/,San Rita,False,200,HSTS | Next.js | Node.js | React | Vercel | Webpack,JavaScript frameworks | Miscellaneous | PaaS | Programming languages | Security | Web frameworks,GSAP | Three.js | WebGL,3D | Microinteractions | Single page | Transitions,Photography,Film & TV | Photo & Video | Portfolio | Sports,css:1 | ico:1 | js:17 | png:4 | svg:2,True,True,True,True,False,False,False,False,True,False,False,False,mirrored
27,Ten Years Away,2026-06-26,https://www.awwwards.com/sites/ten-years-away,https://ten.375.studio/en,https://ten.375.studio/en,Studio375,False,200,Cloudflare | Cloudflare Browser Insights | HSTS | HTTP/3 | Next.js | Node.js | React | Vercel | Webpack,Analytics | CDN | JavaScript frameworks | Miscellaneous | PaaS | Programming languages | RUM | Security | Web frameworks,GSAP | Three.js | WebGL,3D | Animation | Gestures / Interaction | Scrolling | Storytelling | Transitions,Art & Illustration,,css:2 | js:13 | woff2:4,False,True,True,False,False,False,False,False,False,False,False,False,mirrored
29,Wolverine Worldwide,2026-06-24,https://www.awwwards.com/sites/wolverine-worldwide,https://www.wolverineworldwide.com/,https://wolverineworldwide.com/,Locomotive,False,200,Apache HTTP Server | Craft CMS | Google Tag Manager | Ubuntu | Yii,CMS | Operating systems | Tag managers | Web frameworks | Web servers,Craft CMS | GSAP | Locomotive Scroll,,Big Background Images | Clean | UI design,Business & Corporate | Fashion | Photo & Video | Sports,css:2 | html:1 | ico:1 | jpg:2 | js:37 | mp4:1 | pdf:2 | png:3 | svg:43 | webp:77,False,False,False,True,False,False,False,False,True,False,False,False,mirrored
30,Sui,2026-06-23,https://www.awwwards.com/sites/sui,https://www.sui.io/,https://www.sui.io/,HOLOGRAPHIK,False,200,Cloudflare | Cloudflare Bot Management | Google Font API | Google Hosted Libraries | Google Tag Manager | HSTS | Unpkg | jQuery,CDN | Font scripts | JavaScript libraries | Security | Tag managers,After Effects | Figma,Animation | Filters and Effects,Content architecture,Business & Corporate | Technology | Web & Interactive,avif:3 | css:1 | html:1 | js:24 | json:24 | mp4:2 | otf:1 | png:8 | svg:18 | webp:1 | woff2:2,True,False,False,True,False,True,True,True,True,False,False,False,mirrored
31,EverSwap,2026-06-22,https://www.awwwards.com/sites/everswap,https://everswap.com/,https://everswap.com/,Lusion,False,200,Cloudflare | Cloudflare Browser Insights | HTTP/3,Analytics | CDN | Miscellaneous | RUM,Blender | Figma | WebGL,3D | Storytelling,Illustration,Startups | Technology | Web & Interactive,css:1 | ico:1 | jpg:2 | js:1 | png:2 | svg:1,True,True,True,False,False,False,False,False,False,False,False,False,mirrored
32,digitalists,2026-06-21,https://www.awwwards.com/sites/digitalists-1,https://digitalists.at/,https://digitalists.at/,digitalists,False,200,Cloudflare | Cloudflare Bot Management | HTTP/3 | Kinsta | MySQL | PHP | WordPress | WordPress Block Editor,Blogs | CDN | CMS | Databases | Hosting | Miscellaneous | PaaS | Page builders | Programming languages | Security,Three.js | WebGL | WordPress,3D | Animation | Gestures / Interaction | Infinite Scroll,Art & Illustration | Colorful,Design Agencies | Web & Interactive,avif:22 | css:2 | jpg:13 | js:4 | png:20,False,True,True,False,False,False,False,True,False,False,False,False,mirrored
33,RPA COMUNICACIÓN,2026-06-20,https://www.awwwards.com/sites/rpa-comunicacion,https://rpacomunicacion.com/,https://rpacomunicacion.com/,LaNegrita,False,200,Cloudflare | Contact Form 7 | CookieYes | Google Maps | Google Tag Manager | MySQL | Nginx | PHP | Plesk | Unpkg | WPML | WordPress | cdnjs | jsDelivr | reCAPTCHA,Blogs | CDN | CMS | Cookie compliance | Databases | Form builders | Hosting panels | Maps | Programming languages | Reverse proxies | Security | Tag managers | Translation | Web servers | WordPress plugins,CSS | GSAP | WordPress,Animation | Microinteractions | Transitions,Colorful | Typography,Events,css:3 | gif:1 | html:1 | jpeg:2 | jpg:11 | js:24 | mov:2 | mp4:4 | png:5 | svg:26 | woff:1 | woff2:1,False,False,False,True,False,False,False,False,True,False,False,False,mirrored
34,Balmoral,2026-06-19,https://www.awwwards.com/sites/balmoral,https://www.balmoralrunning.com,https://www.balmoralrunning.com,MILL3,False,200,Cloudflare | HSTS | HTTP/3 | Shopify,CDN | CMS | Ecommerce | Miscellaneous | Security,Shopify,Fullscreen,Clean,E-Commerce | Fashion | Sports,css:2 | jpg:8 | js:16 | mp4:2 | png:37,False,False,False,True,False,False,False,False,False,False,False,False,mirrored
35,Indigo Laboratory,2026-06-18,https://www.awwwards.com/sites/indigo-laboratory,https://indigo-laboratory.it/,https://indigo-laboratory.it/,FPTP Studio,False,200,Cloudflare | Cloudflare Browser Insights | HSTS | HTTP/3 | Node.js | Nuxt.js | Plesk | Vue.js,Analytics | CDN | Hosting panels | JavaScript frameworks | Miscellaneous | Programming languages | RUM | Security | Static site generator | Web frameworks | Web servers,Curtains.js | GSAP | Nuxt.js,Animation | Microinteractions | Single page | Sound-Audio | Storytelling,Experimental,Fashion | Music & Sound,css:2 | ico:1 | jpg:75 | js:9 | json:2 | mp4:2 | png:8 | svg:2 | webp:180,False,False,False,True,True,False,False,True,False,False,False,False,mirrored
36,Gucci: Mystery Unfolds,2026-06-17,https://www.awwwards.com/sites/gucci-mystery-unfolds,https://lafamigliamysteryunfolds.gucci.com/,https://lafamigliamysteryunfolds.gucci.com/,MONOGRID,False,200,Amazon CloudFront | Amazon S3 | Amazon Web Services | HSTS | Imperva,CDN | PaaS | Security,GSAP | GraphQL,Animation | App Style | Gestures / Interaction | Interaction Design | Storytelling,UI design,Fashion | Games & Entertainment | Web & Interactive,css:1 | ico:1 | js:4 | png:24,False,False,False,False,False,False,False,False,False,False,False,False,no_html
37,Fauna Robotics,2026-06-16,https://www.awwwards.com/sites/fauna-robotics,https://faunarobotics.com,https://faunarobotics.com,O0,False,200,Cloudflare | Glide.js | HSTS | HTTP/3 | Unpkg | Webflow | jQuery | jsDelivr,CDN | CMS | JavaScript libraries | Miscellaneous | Page builders | Security,Webflow,Gestures / Interaction | Interaction Design,Colorful | Graphic design | Icons | Illustration,Startups | Technology,avif:4 | css:2 | jpg:2 | js:12 | mp4:11 | png:2 | svg:17 | webp:9,True,False,False,True,False,True,False,True,False,False,False,False,mirrored
38,Elva,2026-06-15,https://www.awwwards.com/sites/elva,https://elva-labs.com/,https://elvalabs.ai/,Lazarev.,True,200,Google Cloud | Google Cloud CDN | HTTP/3 | Nginx,CDN | IaaS | Miscellaneous | Reverse proxies | Web servers,GSAP | Three.js | WebGL,Animation | Filters and Effects | Forms and Input | Responsive Design | Single page,UI design,Design Agencies | Mobile & Apps | Web & Interactive,css:1 | html:3 | ico:1 | js:3 | mov:1 | mp4:10 | png:3 | svg:8 | webm:1,False,True,False,True,False,False,False,False,False,False,False,False,mirrored
39,sakazuki,2026-06-14,https://www.awwwards.com/sites/sakazuki,https://sakazuki.io/,https://sakazuki.io/,Shun_Kudo,False,200,Adobe Fonts | HSTS | Typekit | Vercel,Font scripts | PaaS | Security,Adobe Illustrator | Figma,Animation,Experimental | Graphic design | Photographic,Culture & Education | Food & Drink,css:5 | ico:1 | jpg:4 | js:29 | svg:1424,True,False,False,False,False,False,False,False,False,False,False,False,mirrored
40,Crav Burgers,2026-06-13,https://www.awwwards.com/sites/crav-burgers,https://www.cravburgers.shop/,https://www.cravburgers.shop/,Anyflow,False,200,HSTS | Vercel,PaaS | Security,GSAP | Next.js | Next.js | SVG | Web Fonts,404 pages | Animation,Colorful | Typography,E-Commerce | Food & Drink | Hotel / Restaurant,css:2 | ico:1 | js:16 | png:6 | webp:16 | woff2:2,False,False,False,False,False,False,False,False,False,False,False,False,mirrored
41,Tresmares Capital,2026-06-12,https://www.awwwards.com/sites/tresmares-capital,https://www.tresmarescapital.com/,https://www.tresmarescapital.com/,Dgrees,False,200,Apache HTTP Server | Google Tag Manager | HSTS | MySQL | PHP | WP Rocket | WPML | WordPress,Blogs | CMS | Caching | Databases | Programming languages | Security | Tag managers | Translation | Web servers | WordPress plugins,GSAP | SVG | Vanilla JS,Animation | Parallax | Scrolling,Clean | Minimal,Business & Corporate | Institutions | Startups,css:1 | html:2 | ico:1 | jpg:61 | js:8 | pdf:1 | png:22 | svg:1,False,True,False,False,False,False,False,False,True,False,False,False,mirrored
42,Serve Robotics,2026-06-11,https://www.awwwards.com/sites/serve-robotics,https://www.serverobotics.com/,https://www.serverobotics.com/,WILD,False,200,Google Cloud | Google Cloud Storage | HSTS | HTTP/3,IaaS | Miscellaneous | Security,React | Sanity | Tailwind,Interaction Design | Microinteractions | Storytelling,,Business & Corporate | Technology | Web & Interactive,css:3 | ico:1 | jpg:16 | js:17 | png:11 | svg:30 | webp:5 | woff2:2,False,False,False,True,False,False,False,False,False,False,False,False,mirrored
43,Hubtown,2026-06-10,https://www.awwwards.com/sites/hubtown,https://hubtown.co.in/,https://hubtown.co.in/,Unseen Studio,False,200,Google Analytics | HSTS | Netlify | Node.js | Nuxt.js | Vue.js,Analytics | CDN | JavaScript frameworks | PaaS | Programming languages | Security | Static site generator | Web frameworks | Web servers,GSAP | HTML5 | WebGL,3D | Animation | Interaction Design | Storytelling,Experimental,Business & Corporate | Real Estate,css:1 | ico:1 | jpg:1 | js:10 | json:3 | otf:1 | png:2 | svg:1 | ttf:1 | woff2:3,False,True,True,False,False,False,False,True,False,False,False,False,mirrored
44,Pacôme Pertant Portfolio,2026-06-09,https://www.awwwards.com/sites/pacome-pertant-portfolio,https://pacomepertant.com/,https://pacomepertant.com/,Louis Bocquet,False,200,Adobe Fonts | Nginx | Node.js | Nuxt.js | Plesk | Typekit | Vue.js,Font scripts | Hosting panels | JavaScript frameworks | Programming languages | Reverse proxies | Static site generator | Web frameworks | Web servers,GSAP | Nuxt.js | Three.js,3D | Animation | Microinteractions | Scrolling | Transitions,Art & Illustration,Music & Sound | Portfolio | Promotional,css:2 | ico:1 | js:8 | json:3 | png:5 | svg:1,True,True,True,False,True,False,True,True,False,False,False,False,mirrored
45,The Power of Storytelling,2026-06-08,https://www.awwwards.com/sites/the-power-of-storytelling,https://storytelling.noomoagency.com,https://storytelling.noomoagency.com,Noomo Agency,False,200,HSTS | Node.js | Nuxt.js | Vercel | Vue.js,JavaScript frameworks | PaaS | Programming languages | Security | Static site generator | Web frameworks | Web servers,GSAP | Three.js | WebGL,3D | Animation | Scrolling | Storytelling | Transitions,UI design,Design Agencies | Luxury | Promotional,css:2 | gif:1 | jpg:2 | js:4 | json:1 | png:2 | svg:7,False,True,True,False,False,False,False,False,False,False,False,False,mirrored
46,SOHub,2026-06-07,https://www.awwwards.com/sites/sohub,https://sohub.digital,https://sohub.digital,Pensatori Irrazionali,False,200,Cloudflare | Cloudflare Browser Insights | HSTS | HTTP/3 | Next.js | Node.js | React | Vercel | Webpack,Analytics | CDN | JavaScript frameworks | Miscellaneous | PaaS | Programming languages | RUM | Security | Web frameworks,GSAP | Next.js | Sanity,Contact Page | Footer Design | Transitions,Clean | Minimal,Design Agencies | Portfolio | Technology | Web & Interactive,css:2 | ico:2 | js:18 | png:2 | woff2:2,False,False,False,False,False,False,False,False,False,False,False,False,mirrored
47,Apechain,2026-06-06,https://www.awwwards.com/sites/apechain,https://apechain.com/,https://apechain.com/,makemepulse,False,200,HSTS | Next.js | Node.js | React | Vercel | Webpack,JavaScript frameworks | Miscellaneous | PaaS | Programming languages | Security | Web frameworks,Next.js | WebGL,3D | Interaction Design,Colorful | Experimental,Business & Corporate | Technology,css:7 | ico:1 | jpg:27 | js:26 | png:12,True,True,True,False,False,False,False,False,False,False,False,False,mirrored
48,Son Daven,2026-06-05,https://www.awwwards.com/sites/son-daven,https://sondaven.com/en,https://sondaven.com/en,The First The Last,False,200,Cloudflare | Google Tag Manager | HSTS | HTTP/3 | Unpkg | jQuery | jsDelivr,CDN | JavaScript libraries | Miscellaneous | Security | Tag managers,GSAP | WebGL | Webflow,Animation | Microinteractions | Scrolling | Storytelling,UI design,E-Commerce | Food & Drink | Hotel / Restaurant,avif:1 | css:2 | html:1 | jpg:6 | js:11 | mp4:4 | pdf:3 | png:2 | svg:10 | webp:54,True,True,False,True,False,False,False,False,True,False,False,False,mirrored
49,Steven.com,2026-06-04,https://www.awwwards.com/sites/steven-com,https://steven.com,https://steven.com,OFF+BRAND.,False,200,Cloudflare | Google Tag Manager | HSTS | HTTP/3 | jQuery,CDN | JavaScript libraries | Miscellaneous | Security | Tag managers,Three.js | WebGL | Webflow,3D | Animation | Parallax | Storytelling | Unusual Navigation,Experimental,Business & Corporate | Startups,css:1 | html:1 | js:8 | png:2 | webp:4,True,True,True,False,False,True,False,True,True,False,False,False,mirrored
50,Truck’N Roll®,2026-06-03,https://www.awwwards.com/sites/truckn-roll-r,https://trucknroll.com/,https://trucknroll.com/,Locomotive,False,200,Craft CMS | Google Analytics | HSTS | HTTP/3 | LiteSpeed | Yii | reCAPTCHA,Analytics | CMS | Miscellaneous | Security | Web frameworks | Web servers,Craft CMS | JavaScript | Locomotive Scroll,,Clean | Photographic | Typography,Business & Corporate | Events | Promotional,css:2 | html:2 | ico:1 | jpg:2 | js:93 | png:2 | svg:25 | webp:11,False,False,False,False,False,False,False,False,True,False,False,False,mirrored
51,REF Digital,2026-06-02,https://www.awwwards.com/sites/ref-digital,https://ref.digital/,https://ref.digital/,REF Digital,False,200,Cloudflare | Google Tag Manager | HSTS | HTTP/3 | Node.js | Nuxt.js | Vue.js | YouTube,CDN | JavaScript frameworks | Miscellaneous | Programming languages | Security | Static site generator | Tag managers | Video players | Web frameworks | Web servers,GLSL | GSAP | Nuxt.js,About Page | Animation | Header Design | Microinteractions | Project Page,,Design Agencies | Portfolio,css:1 | html:1 | jpg:18 | js:93 | json:3 | png:3 | svg:4,True,True,False,False,False,False,True,True,True,False,False,False,mirrored
52,Hashgraph Ventures,2026-06-01,https://www.awwwards.com/sites/hashgraph-ventures,https://hashgraphvc.com/,https://hashgraphvc.com/,Glenn Catteeuw,False,200,HSTS | Netlify | Node.js | Nuxt.js | Vue.js,CDN | JavaScript frameworks | PaaS | Programming languages | Security | Static site generator | Web frameworks | Web servers,Nuxt.js | Sanity | Three.js,3D | Animation | Storytelling,,Business & Corporate | Technology,css:3 | ico:2 | js:16 | json:2 | png:8 | svg:2,False,False,True,False,False,False,False,True,False,False,False,False,mirrored
53,Vaulk,2026-05-31,https://www.awwwards.com/sites/vaulk,https://vaulk.com/,https://vaulk.com/fr-FR,LEOLEO,False,200,HSTS | HTTP/3 | Node.js | Nuxt.js | Vue.js,JavaScript frameworks | Miscellaneous | Programming languages | Security | Static site generator | Web frameworks | Web servers,GSAP | Nuxt.js | Vue.js,Parallax | Video,,Architecture | Real Estate,css:9 | ico:1 | jpg:1 | js:43 | json:2 | mov:1 | mp4:4 | png:4 | svg:1 | webm:3 | webp:16 | woff2:1,True,False,False,True,False,False,False,True,True,False,False,False,mirrored
54,ZettaJoule,2026-05-30,https://www.awwwards.com/sites/zettajoule,https://zetta-joule.com/,https://zetta-joule.com/,Zypsy,False,200,Cloudflare | Google Analytics | HSTS | HTTP/3 | Webflow | jQuery | jsDelivr,Analytics | CDN | CMS | JavaScript libraries | Miscellaneous | Page builders | Security,Blender | Figma | Webflow,3D | Animation | Fullscreen | Video,Big Background Images | Clean,Technology,css:2 | js:11 | mp4:1 | png:3 | svg:2 | webp:41,True,True,True,True,False,False,True,True,True,False,False,False,mirrored
